id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,28,admin.,single,high.school,no,no,no,cellular,may,wed,251,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
1,35,self-employed,divorced,university.degree,no,no,no,cellular,nov,tue,271,3,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
2,27,technician,married,professional.course,no,yes,yes,cellular,apr,wed,163,3,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,no
3,33,technician,married,professional.course,no,no,no,cellular,aug,tue,120,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
4,39,admin.,single,high.school,no,unknown,unknown,cellular,aug,thu,125,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
5,51,technician,married,professional.course,no,no,no,telephone,may,wed,302,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
6,40,management,married,university.degree,no,yes,no,cellular,may,tue,459,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
7,34,services,married,high.school,unknown,no,yes,cellular,may,tue,22,5,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
8,31,management,single,university.degree,no,yes,no,cellular,may,mon,125,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
9,18,student,single,unknown,no,no,no,telephone,sep,tue,401,2,999,0,nonexistent,-3.4,92.379,-29.8,0.788,5017.5,no
10,51,unemployed,married,basic.6y,no,yes,no,cellular,jun,thu,262,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
11,53,technician,married,university.degree,no,no,no,telephone,jun,thu,498,7,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
12,49,technician,married,professional.course,unknown,no,no,cellular,aug,tue,162,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
13,51,technician,married,professional.course,no,yes,no,telephone,may,mon,220,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
14,41,housemaid,married,basic.4y,no,no,no,cellular,may,tue,66,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
15,44,blue-collar,married,high.school,no,yes,no,cellular,may,fri,223,2,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
